Country/Region,Confirmed,Deaths,Mortality_Rate
South Korea,14203,300,2.1122298106033934
South Sudan,2305,46,1.9956616052060738
Spain,272421,28432,10.436787178668311
Sri Lanka,2805,11,0.39215686274509803
Sudan,11424,720,6.302521008403361
Suriname,1483,24,1.6183412002697235
Sweden,79395,5700,7.179293406385792
Switzerland,34477,1978,5.737158105403602
Syria,674,40,5.934718100890208
Taiwan*,462,7,1.5151515151515151
Tajikistan,7235,60,0.82930200414651
Tanzania,509,21,4.12573673870334
Thailand,3297,58,1.7591750075826509
Timor-Leste,24,0,0.0
Togo,874,18,2.059496567505721
Trinidad and Tobago,148,8,5.405405405405405
Tunisia,1455,50,3.436426116838488
Turkey,227019,5630,2.4799686369863316
United States,4290259,148011,3.4499315775574386
Uganda,1128,2,0.1773049645390071
Ukraine,67096,1636,2.438297364969596
United Arab Emirates,59177,345,0.5829967723946804
United Kingdom,301708,45844,15.194824134593713
Uruguay,1202,35,2.9118136439267883
Uzbekistan,21209,121,0.5705125182705455
Venezuela,15988,146,0.9131848886664998
Vietnam,431,0,0.0
West Bank and Gaza,10621,78,0.7343941248470013
Western Sahara,10,1,10.0
Yemen,1691,483,28.562980484920164
Zambia,4552,140,3.0755711775043935
Zimbabwe,2704,36,1.3313609467455623
